Time (s),Value 1,Value 2,Value 3,Value 4
18.178547382354736,2.54,10.50,15.00,70.57
18.193547010421753,2.54,10.50,15.00,70.57
18.20954942703247,2.54,10.50,15.00,70.57
18.225550889968872,2.54,10.50,15.00,70.57
18.241548538208008,2.54,10.50,15.00,71.02
18.257548570632935,2.54,10.50,15.00,71.02
18.272546529769897,2.54,10.50,15.00,71.02
18.287550449371338,2.54,10.50,15.00,71.02
18.30354952812195,2.54,10.50,15.00,71.02
18.31854557991028,2.54,10.50,15.00,71.02
18.334548234939575,2.54,10.50,15.00,71.02
18.35054612159729,2.54,10.50,15.00,71.02
18.366549253463745,2.54,10.50,15.00,71.02
18.38154888153076,2.54,10.50,15.00,71.47
18.39554786682129,1.70,9.60,15.00,71.47
18.411583185195923,1.70,9.60,15.00,71.47
18.42754554748535,1.70,9.60,15.00,71.47
18.443549156188965,1.70,9.60,15.00,71.47
18.459547996520996,1.70,9.60,15.00,71.47
18.474549293518066,1.70,9.60,15.00,71.47
18.49054503440857,1.70,9.60,15.00,71.47
18.506548404693604,1.70,9.60,15.00,71.47
18.520546913146973,1.70,9.60,15.00,76.51
18.535547494888306,1.70,9.60,15.00,76.51
18.551546096801758,1.70,9.60,15.00,76.51
18.567545890808105,1.70,9.60,15.00,76.51
18.583545446395874,1.70,9.60,15.00,76.51
18.598578929901123,1.70,9.60,15.00,76.51
18.61354660987854,1.70,9.60,15.00,76.51
18.628546714782715,1.70,9.60,15.00,76.51
18.644549131393433,1.70,9.60,15.00,76.51
18.66155195236206,1.70,9.60,15.00,77.05
18.675582885742188,0.92,8.75,15.00,77.05
18.69255042076111,0.92,8.75,15.00,77.05
18.708548307418823,0.92,8.75,15.00,77.05
18.723562717437744,0.92,8.75,15.00,77.05
18.739545345306396,0.92,8.75,15.00,77.05
18.75554847717285,0.92,8.75,15.00,77.05
18.7695472240448,0.92,8.75,15.00,77.05
18.785547018051147,0.92,8.75,15.00,77.05
18.80054545402527,0.92,8.75,15.00,81.89
18.816545248031616,0.92,8.75,15.00,81.89
18.832545518875122,1.85,9.76,15.00,81.89
18.848546743392944,1.85,9.76,15.00,81.89
18.862547159194946,1.85,9.76,15.00,81.89
18.878586053848267,1.85,9.76,15.00,81.89
18.894546508789062,1.85,9.76,15.00,81.89
18.91154718399048,1.85,9.76,15.00,81.89
18.9255473613739,1.85,9.76,15.00,81.89
18.941548585891724,1.85,9.76,15.00,77.41
18.95754623413086,1.85,9.76,15.00,77.41
18.972546815872192,1.85,9.76,15.00,77.41
18.98754596710205,1.85,9.76,15.00,77.41
19.00354790687561,1.85,9.76,15.00,77.41
19.01854634284973,1.85,9.76,15.00,77.41
19.035549640655518,1.85,9.76,15.00,77.41
19.05054545402527,1.85,9.76,15.00,77.41
19.065545797348022,1.85,9.76,15.00,77.41
19.08054542541504,1.85,9.76,15.00,77.94
19.095547914505005,1.85,9.76,15.00,77.94
19.112546920776367,1.85,9.76,15.00,77.94
19.12754988670349,1.85,9.76,15.00,77.94
19.142546892166138,1.85,9.76,15.00,77.94
19.158547401428223,1.85,9.76,15.00,77.94
19.17554783821106,1.85,9.76,15.00,77.94
19.190545320510864,1.85,9.76,15.00,77.94
